,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,652,783,880,785,863,865,881,932,"1,036",974,"1,209","1,457","1,528"
Expenses +,527,650,749,722,783,785,764,814,909,871,"1,014","1,234","1,337"
Operating Profit,125,133,131,63,80,80,117,118,128,103,195,223,191
OPM %,19%,17%,15%,8%,9%,9%,13%,13%,12%,11%,16%,15%,12%
Other Income +,9,25,18,11,21,43,22,44,24,46,22,11,36
Interest,21,25,31,36,38,40,34,22,15,15,10,9,12
Depreciation,30,35,37,49,25,25,26,28,29,31,33,33,32
Profit before tax,82,99,80,-11,39,57,79,112,107,103,175,193,183
Tax %,26%,22%,16%,71%,7%,-0%,30%,30%,30%,33%,34%,34%,
Net Profit,61,77,67,-3,90,192,205,176,172,170,279,303,147
EPS in Rs,7.00,8.87,7.78,-0.36,10.39,22.21,23.63,20.31,19.89,19.56,32.16,34.95,16.95
