,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,228,289,326,367,401,485,595,607,769,853,"1,188","1,547","1,470"
Expenses +,223,270,295,318,352,424,534,542,701,785,"1,070","1,410","1,376"
Operating Profit,6,19,31,49,48,62,61,65,68,69,119,137,94
OPM %,3%,7%,10%,13%,12%,13%,10%,11%,9%,8%,10%,9%,6%
Other Income +,1,13,6,4,1,-3,4,4,4,9,12,10,8
Interest,6,8,12,10,9,10,8,4,2,2,2,-7,2
Depreciation,48,48,46,46,39,35,34,34,40,37,30,28,28
Profit before tax,-48,-24,-21,-3,2,13,24,30,29,39,99,127,72
Tax %,1%,-0%,-0%,-0%,6%,-1%,0%,0%,1%,14%,1%,20%,
Net Profit,-47,-24,-21,-3,2,13,24,30,29,34,97,102,55
EPS in Rs,-1.04,-0.53,-0.46,-0.06,0.05,0.28,0.53,0.66,0.64,0.75,2.16,2.13,1.16
