,Mar 2009,Mar 2010,Mar 2011,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,28,29,39,54,87,72,58,59,64,60,49
Expenses +,24,23,32,48,71,58,55,58,60,55,55
Operating Profit,4,5,8,6,16,13,3,2,4,5,-6
OPM %,16%,19%,19%,12%,18%,19%,4%,3%,6%,8%,-13%
Other Income +,1,0,1,0,0,1,0,1,0,1,1
Interest,1,1,2,9,16,16,17,17,16,2,1
Depreciation,1,1,1,7,8,8,9,9,9,9,8
Profit before tax,4,4,6,-10,-8,-10,-23,-23,-20,-5,-15
Tax %,35%,37%,36%,22%,0%,-1%,0%,0%,0%,0%,
Net Profit,2,2,4,-8,-8,-10,-23,-23,-20,-5,-15
EPS in Rs,,,,-5.85,-5.86,-6.98,-15.28,-15.54,-13.47,-3.57,-10.17
