,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"59,602","71,506","76,947","85,864","96,101","96,532","95,468","82,639","80,780","84,676","100,616","116,547","128,698"
Expenses +,"39,438","47,965","53,987","59,352","62,499","62,548","60,138","52,560","55,016","51,086","55,337","59,013","63,832"
Operating Profit,"20,164","23,541","22,960","26,512","33,602","33,984","35,330","30,079","25,764","33,591","45,279","57,534","64,866"
OPM %,34%,33%,30%,31%,35%,35%,37%,36%,32%,40%,45%,49%,50%
Other Income +,255,428,"1,159","2,881","1,243","4,858","1,713","1,756","4,474","-35,600","-4,215","4,656","3,405"
Interest,"2,535","4,083","4,519","5,879","4,446","8,546","9,547","9,326","10,622","14,073","15,091","16,616","17,878"
Depreciation,"10,207","13,368","14,815","15,650","19,858","17,450","19,773","19,243","21,348","27,094","29,404","33,091","34,858"
Profit before tax,"7,678","6,518","4,785","7,864","10,540","12,846","7,723","3,267","-1,732","-43,177","-3,432","12,483","15,536"
Tax %,23%,35%,53%,62%,52%,46%,45%,33%,197%,29%,-260%,33%,
Net Profit,"5,899","4,258","2,267","3,019","5,048","6,893","4,241","2,184","1,688","-30,664","-12,364","8,305","10,813"
EPS in Rs,11.01,8.15,4.32,5.04,8.41,11.05,6.91,2.00,0.74,-55.06,-25.63,7.23,11.41
