,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,603,679,653,643,737,723,791,820,870,732,687,782,818
Expenses +,520,588,584,576,648,646,688,697,745,643,620,710,758
Operating Profit,84,91,69,67,89,76,103,123,124,89,67,73,60
OPM %,14%,13%,10%,10%,12%,11%,13%,15%,14%,12%,10%,9%,7%
Other Income +,3,7,7,7,9,8,10,7,6,12,13,31,32
Interest,32,36,38,36,31,27,28,26,27,27,28,23,22
Depreciation,31,29,28,28,34,34,34,30,30,40,40,41,41
Profit before tax,24,32,10,10,33,23,51,74,73,35,11,39,30
Tax %,20%,26%,43%,31%,26%,33%,30%,-37%,37%,40%,-162%,11%,
Net Profit,19,24,6,7,25,16,36,101,46,21,29,35,23
EPS in Rs,8.71,10.82,2.70,3.10,11.10,7.04,16.22,45.77,20.72,9.56,13.05,15.78,10.28
