,Mar 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,20.43,49.91,26.95,8.41,1.22,0.75,0.48,1.22,0.33,0.22,0.15,0.05,0.11
Expenses +,24.40,45.02,26.19,33.26,4.40,158.97,12.91,2.47,1.65,1.29,1.08,0.51,0.56
Operating Profit,-3.97,4.89,0.76,-24.85,-3.18,-158.22,-12.43,-1.25,-1.32,-1.07,-0.93,-0.46,-0.45
OPM %,-19.43%,9.80%,2.82%,-295.48%,-260.66%,"-21,096.00%","-2,589.58%",-102.46%,-400.00%,-486.36%,-620.00%,-920.00%,-409.09%
Other Income +,3.77,0.00,1.08,-4.67,0.00,-9.00,0.00,0.05,0.00,0.04,0.65,0.41,0.31
Interest,0.34,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Depreciation,0.60,0.61,0.49,0.49,0.37,0.09,0.11,0.32,0.23,0.25,0.25,0.25,0.24
Profit before tax,-1.14,4.26,1.34,-30.01,-3.55,-167.31,-12.54,-1.52,-1.56,-1.28,-0.53,-0.30,-0.38
Tax %,-4.39%,-24.65%,-4.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Net Profit,-1.19,5.31,1.40,-30.01,-3.55,-167.31,-12.54,-1.52,-1.56,-1.28,-0.53,-0.30,-0.38
EPS in Rs,-0.39,0.85,0.19,-4.07,-0.49,-23.03,-1.73,-0.21,-0.21,-0.18,-0.07,-0.04,-0.06
