,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,468,600,665,817,800,797,828,918,852,922,880,929
Expenses +,351,428,479,578,526,533,575,644,647,678,706,788
Operating Profit,117,172,186,239,274,264,254,274,205,243,174,140
OPM %,25%,29%,28%,29%,34%,33%,31%,30%,24%,26%,20%,15%
Other Income +,37,40,12,-15,-18,21,24,17,30,35,39,37
Interest,0,0,6,0,0,1,1,1,4,1,1,1
Depreciation,3,4,4,5,5,5,7,7,6,6,5,7
Profit before tax,151,208,187,219,250,278,270,283,225,270,206,170
Tax %,21%,20%,20%,21%,22%,22%,22%,22%,18%,17%,18%,
Net Profit,120,166,149,173,196,218,211,222,185,223,170,140
EPS in Rs,8.14,11.27,10.10,11.71,13.32,14.80,14.31,15.02,12.52,15.12,11.50,9.48
