,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,139","1,273","1,306","1,360","1,861","2,837","2,252","2,411","3,774","5,603","5,788","7,208","7,796"
Expenses +,"1,010","1,120","1,148","1,184","1,581","2,214","1,647","1,648","2,768","4,275","4,366","5,674","6,145"
Operating Profit,129,153,157,176,280,622,605,763,"1,007","1,328","1,422","1,534","1,650"
OPM %,11%,12%,12%,13%,15%,22%,27%,32%,27%,24%,25%,21%,21%
Other Income +,4,7,3,11,12,12,39,24,47,182,107,87,74
Interest,9,24,25,61,93,257,310,309,348,439,426,425,430
Depreciation,19,19,23,40,60,213,242,262,346,351,363,390,347
Profit before tax,105,117,112,85,139,164,92,216,360,719,740,806,948
Tax %,32%,33%,33%,41%,34%,-27%,-28%,-12%,2%,24%,33%,28%,
Net Profit,71,78,75,51,91,209,118,243,351,550,497,580,703
EPS in Rs,3.57,3.94,3.75,2.77,4.59,8.13,4.61,9.47,13.70,21.43,19.39,22.62,27.40
