,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,405","2,640","3,092","3,546","3,835","4,385","5,833","7,093","8,485","9,127","10,059","10,695"
Expenses +,"2,240","2,517","2,945","3,388","3,666","4,165","5,533","6,742","7,969","8,607","9,561","10,210"
Operating Profit,165,123,147,158,169,220,300,352,516,521,498,484
OPM %,7%,5%,5%,4%,4%,5%,5%,5%,6%,6%,5%,5%
Other Income +,11,16,12,17,15,3,36,18,53,202,55,54
Interest,31,31,26,48,48,77,92,94,152,127,98,101
Depreciation,21,26,31,45,43,36,56,66,128,113,112,120
Profit before tax,123,83,102,82,94,110,187,210,289,483,344,318
Tax %,30%,34%,36%,41%,31%,1%,13%,-2%,22%,24%,5%,
Net Profit,86,54,65,48,74,110,163,215,225,367,326,348
EPS in Rs,80.30,53.41,55.37,50.55,61.07,8.14,11.07,14.72,15.38,24.64,22.13,23.63
