,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,201,369,423,387,627,875,750,900,391,527,551,579
Expenses +,216,322,328,319,514,711,597,704,478,473,631,681
Operating Profit,-14,47,95,68,113,164,153,196,-87,53,-80,-102
OPM %,-7%,13%,22%,18%,18%,19%,20%,22%,-22%,10%,-15%,-18%
Other Income +,7,-42,10,10,4,-22,28,37,34,25,43,69
Interest,40,36,46,47,49,32,13,17,8,4,3,7
Depreciation,45,48,56,49,38,56,61,66,77,52,77,91
Profit before tax,-93,-79,3,-18,29,54,106,150,-139,23,-117,-131
Tax %,0%,-0%,0%,0%,0%,-73%,-0%,2%,-71%,-67%,46%,
Net Profit,-93,-79,3,-18,29,93,107,147,-237,38,-63,-79
EPS in Rs,-15.94,-13.56,0.48,-3.07,4.59,13.15,11.73,16.05,-25.71,4.03,-5.47,-6.83
