,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,953,"1,313","1,583","1,836","2,187","2,413","2,550","2,711","2,956","2,808","2,781","3,705","4,256"
Expenses +,803,"1,105","1,336","1,550","1,831","1,950","2,049","2,253","2,501","2,391","2,266","3,093","3,623"
Operating Profit,150,208,247,287,355,463,500,457,455,417,515,612,633
OPM %,16%,16%,16%,16%,16%,19%,20%,17%,15%,15%,19%,17%,15%
Other Income +,-1,-0,1,1,0,5,11,11,8,23,15,26,27
Interest,30,49,46,41,29,34,34,24,16,20,11,13,14
Depreciation,30,39,45,47,56,73,81,89,89,108,107,115,127
Profit before tax,89,120,158,199,270,361,396,355,358,312,413,510,519
Tax %,32%,32%,32%,34%,32%,35%,36%,36%,36%,19%,25%,25%,
Net Profit,61,82,108,131,185,236,254,229,229,254,309,383,384
EPS in Rs,4.12,5.50,7.11,8.22,11.05,14.56,15.91,14.78,14.25,16.06,19.36,23.68,23.87
