,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,941,992,"1,125","1,350","1,294","1,401","1,370","1,604","1,863","1,829","1,924","2,525","2,816"
Expenses +,803,880,"1,024","1,249","1,204","1,274","1,229","1,426","1,669","1,692","1,707","2,229","2,445"
Operating Profit,138,112,102,101,90,127,141,178,194,138,217,296,371
OPM %,15%,11%,9%,8%,7%,9%,10%,11%,10%,8%,11%,12%,13%
Other Income +,12,15,16,9,32,6,14,10,11,14,25,54,57
Interest,2,3,7,12,17,14,9,7,11,17,15,13,13
Depreciation,11,14,18,26,37,44,45,44,51,65,74,74,76
Profit before tax,136,111,93,72,68,75,100,137,144,70,153,263,338
Tax %,35%,32%,35%,37%,30%,32%,26%,30%,28%,39%,33%,32%,
Net Profit,89,76,60,46,48,51,74,95,103,43,102,178,235
EPS in Rs,2.81,2.38,1.90,1.44,1.52,1.61,2.34,3.01,3.25,1.34,3.23,5.63,7.44
