,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,55,63,80,106,127,174,181,196,252,276,310,484,577
Expenses +,45,55,66,87,103,143,154,169,209,229,243,379,465
Operating Profit,11,8,14,19,24,31,27,27,42,48,67,105,112
OPM %,19%,13%,17%,18%,19%,18%,15%,14%,17%,17%,22%,22%,19%
Other Income +,0,1,1,1,1,2,3,5,2,5,8,10,5
Interest,1,3,4,5,8,9,11,8,12,10,8,11,12
Depreciation,3,4,4,5,4,5,6,7,9,12,13,18,22
Profit before tax,7,2,6,10,13,18,13,17,24,30,54,86,83
Tax %,23%,13%,22%,25%,32%,32%,37%,28%,28%,25%,27%,24%,
Net Profit,5,1,5,8,9,12,8,12,17,23,39,65,62
EPS in Rs,2.29,0.73,2.17,3.43,3.75,4.21,2.80,4.61,6.65,8.27,14.65,24.26,23.04
