,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,730,702,764,706,684,750,452,253,210,240,232,234,161
Expenses +,691,640,676,606,649,830,445,255,210,223,223,246,170
Operating Profit,39,62,88,100,35,-79,8,-3,-1,17,9,-11,-10
OPM %,5%,9%,12%,14%,5%,-11%,2%,-1%,-0%,7%,4%,-5%,-6%
Other Income +,29,16,15,15,13,13,9,54,17,6,98,8,8
Interest,24,37,67,78,83,122,169,172,126,142,139,143,158
Depreciation,10,14,27,29,47,53,50,104,40,37,25,24,24
Profit before tax,34,26,9,9,-81,-242,-202,-226,-150,-156,-57,-170,-184
Tax %,26%,39%,183%,89%,8%,2%,0%,0%,0%,0%,1%,0%,
Net Profit,25,16,-7,1,-75,-237,-201,-225,-150,-156,-56,-170,-184
EPS in Rs,12.97,9.10,0.04,3.10,-35.44,-103.36,-71.01,-68.74,-45.40,-45.96,-1.32,-49.07,-52.43
