,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,693,668,722,821,649,582,501,363,371,313,254,302,148
Expenses +,697,807,688,789,638,605,547,392,369,369,273,317,167
Operating Profit,-4,-139,34,31,10,-23,-46,-29,2,-56,-19,-14,-19
OPM %,-1%,-21%,5%,4%,2%,-4%,-9%,-8%,1%,-18%,-7%,-5%,-13%
Other Income +,14,9,-5,11,7,81,12,-0,27,17,10,-3,-2
Interest,84,100,100,115,2,2,53,55,59,58,58,61,57
Depreciation,44,46,45,45,45,36,34,35,34,15,8,5,2
Profit before tax,-118,-276,-116,-117,-29,20,-121,-120,-63,-112,-75,-83,-81
Tax %,18%,-0%,0%,-0%,-0%,-0%,-0%,-0%,-0%,-1%,-0%,-0%,
Net Profit,-97,-276,-116,-118,-29,20,-121,-120,-63,-113,-75,-83,-81
EPS in Rs,-24.69,-70.64,-29.61,-30.06,-7.52,5.17,-29.87,-30.59,-16.17,-28.70,-19.16,-21.19,-20.68
