,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,173,344,446,559,757,894,"1,017","1,171","1,394","1,171","1,397","1,586"
Expenses +,154,316,425,525,700,851,930,"1,087","1,300","1,108","1,338","1,543"
Operating Profit,18,28,20,34,57,43,87,83,94,63,58,43
OPM %,11%,8%,5%,6%,8%,5%,9%,7%,7%,5%,4%,3%
Other Income +,1,1,1,1,-5,2,7,11,9,9,-0,-5
Interest,1,4,5,6,6,5,3,1,7,6,7,7
Depreciation,3,7,12,15,18,25,30,38,62,55,54,59
Profit before tax,15,18,5,13,28,15,62,56,34,11,-2,-28
Tax %,17%,17%,-8%,24%,1%,-38%,28%,20%,-39%,-28%,222%,
Net Profit,13,15,5,10,27,21,44,45,47,14,3,-17
EPS in Rs,409.74,482.79,174.68,316.50,875.00,10.80,18.84,19.03,20.01,6.04,1.24,-7.40
