,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,572,738,970,"1,085","1,177","1,313","1,457","1,261","1,245",885,847,"1,042","1,023"
Expenses +,496,626,848,973,"1,062","1,170","1,280","1,106","1,116",953,853,"1,026","1,004"
Operating Profit,76,112,122,111,115,143,177,155,130,-68,-6,16,19
OPM %,13%,15%,13%,10%,10%,11%,12%,12%,10%,-8%,-1%,2%,2%
Other Income +,1,4,4,-1,12,19,8,31,20,15,69,14,17
Interest,28,49,66,58,69,93,110,112,109,74,73,67,67
Depreciation,15,18,24,27,46,66,70,76,70,75,73,69,69
Profit before tax,35,49,35,26,11,3,5,-1,-30,-201,-82,-106,-101
Tax %,15%,23%,27%,29%,-64%,-87%,16%,-208%,19%,16%,27%,18%,
Net Profit,29,38,25,18,19,5,4,-4,-24,-169,-60,-87,-91
EPS in Rs,,17.39,11.27,7.35,7.56,1.94,1.81,-1.44,-9.42,-67.73,-23.81,-34.90,-36.44
