,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Dec 2012,Mar 2014,Mar 2020,Mar 2021
Sales +,747,964,"1,245","1,301","1,420","1,849","2,419","3,096","3,903","10,526","10,042"
Expenses +,599,820,994,"1,067","1,143","1,435","2,021","2,686","3,281","8,892","7,954"
Operating Profit,148,145,251,234,277,414,398,410,622,"1,634","2,088"
OPM %,20%,15%,20%,18%,20%,22%,16%,13%,16%,16%,21%
Other Income +,28,21,18,43,29,24,56,66,90,84,76
Interest,3,2,0,0,0,0,0,0,1,192,116
Depreciation,27,32,38,42,47,54,60,66,97,318,341
Profit before tax,146,131,230,235,259,383,393,409,614,"1,208","1,707"
Tax %,32%,33%,33%,31%,32%,32%,30%,30%,32%,1%,25%
Net Profit,99,88,154,162,175,259,275,289,420,"1,199","1,278"
EPS in Rs,76.66,68.38,119.49,125.51,13.58,20.09,21.32,22.34,32.63,93.44,99.59
