,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,483,478,307,340,360,322,357,324,348,365,372,333,324
Expenses +,352,403,311,272,275,231,268,290,297,279,273,298,314
Operating Profit,131,75,-3,68,85,91,89,34,51,86,99,36,10
OPM %,27%,16%,-1%,20%,24%,28%,25%,11%,15%,24%,27%,11%,3%
Other Income +,5,11,3,-0,-4,-87,-97,13,3,-303,8,10,6
Interest,43,43,51,67,61,62,20,8,2,6,4,3,2
Depreciation,10,8,4,2,4,4,5,5,5,15,14,10,11
Profit before tax,83,35,-56,-2,16,-62,-34,34,47,-238,89,34,3
Tax %,5%,10%,-7%,-416%,36%,-21%,-29%,40%,46%,-13%,42%,38%,
Net Profit,79,32,-60,-12,10,-74,-43,21,25,-269,52,21,3
EPS in Rs,11.37,4.59,-3.60,-0.70,0.56,-1.48,-0.85,0.37,0.45,-4.79,0.92,0.37,0.06
