,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,566,721,911,"1,011","1,047","1,116",986,"1,036","1,158",977,875,"1,014","1,203"
Expenses +,494,638,801,906,922,975,862,926,"1,025",851,756,889,"1,045"
Operating Profit,72,83,111,105,125,141,124,110,134,126,119,125,158
OPM %,13%,12%,12%,10%,12%,13%,13%,11%,12%,13%,14%,12%,13%
Other Income +,2,3,4,5,5,5,5,4,4,4,4,4,3
Interest,21,41,62,59,70,78,68,51,58,61,64,68,71
Depreciation,5,7,11,13,16,19,24,23,32,37,45,47,45
Profit before tax,47,38,42,38,44,48,37,40,48,31,14,14,46
Tax %,21%,25%,25%,25%,21%,24%,30%,32%,32%,28%,27%,44%,
Net Profit,37,28,31,28,35,37,26,28,33,22,10,8,35
EPS in Rs,20.72,15.79,16.92,15.28,18.64,7.89,4.01,4.27,5.06,3.39,1.55,1.21,5.50
