,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,401,494,694,618,734,690,769,970,"1,007",880,951,"1,149"
Expenses +,379,455,646,567,648,639,718,867,906,786,853,"1,012"
Operating Profit,21,38,48,51,86,50,51,103,101,95,98,137
OPM %,5%,8%,7%,8%,12%,7%,7%,11%,10%,11%,10%,12%
Other Income +,27,18,30,24,-3,0,6,12,10,9,20,3
Interest,10,10,15,9,10,14,13,5,6,3,1,2
Depreciation,7,7,8,9,13,14,14,14,17,18,17,17
Profit before tax,31,39,55,57,60,23,30,95,88,83,100,122
Tax %,37%,35%,36%,34%,30%,28%,30%,31%,30%,28%,24%,33%
Net Profit,20,25,34,37,42,17,21,66,63,61,75,81
EPS in Rs,17.84,23.16,31.05,33.76,38.64,15.34,19.35,60.05,57.49,55.75,68.47,73.77
