,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,977","2,310","3,275","2,665","2,987","2,757","3,460","4,343","4,286","4,741","4,812","4,846","4,685"
Expenses +,"2,443","2,069","2,853","2,441","2,859","2,342","2,557","3,888","3,595","4,059","4,098","4,139","4,227"
Operating Profit,534,240,421,224,128,414,903,454,691,682,714,707,458
OPM %,18%,10%,13%,8%,4%,15%,26%,10%,16%,14%,15%,15%,10%
Other Income +,12,24,41,21,13,-130,-8,38,47,52,47,36,58
Interest,149,147,144,118,102,67,55,52,41,64,39,31,33
Depreciation,173,116,108,110,116,110,105,95,96,101,112,114,113
Profit before tax,224,2,210,17,-76,108,735,345,602,568,609,599,371
Tax %,27%,74%,23%,52%,24%,7%,19%,33%,4%,9%,21%,22%,
Net Profit,163,0,161,8,-58,100,593,232,576,519,480,465,288
EPS in Rs,6.35,0.02,6.60,0.35,-2.37,4.09,25.23,10.14,25.21,23.61,22.85,22.77,14.12
