,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,444","1,912","1,949","2,009","1,711","1,532","1,468","3,266","7,858","3,094","1,958","3,027","3,415"
Expenses +,"1,135","1,589","1,677","1,759","1,574","1,398","1,428","1,821","2,838","3,180","2,173","2,568","3,065"
Operating Profit,309,324,272,250,137,135,40,"1,445","5,020",-86,-215,458,350
OPM %,21%,17%,14%,12%,8%,9%,3%,44%,64%,-3%,-11%,15%,10%
Other Income +,22,41,38,45,29,49,86,88,155,174,316,294,234
Interest,9,19,31,24,16,9,8,8,12,18,6,5,10
Depreciation,49,49,62,58,44,49,46,52,62,51,52,55,57
Profit before tax,274,297,217,213,107,125,72,"1,473","5,101",19,43,693,517
Tax %,31%,28%,38%,39%,46%,34%,2%,30%,33%,-134%,175%,27%,
Net Profit,189,212,134,130,58,83,70,"1,032","3,396",45,-32,505,343
EPS in Rs,9.68,10.88,6.88,6.65,2.95,4.24,3.61,52.82,173.80,2.30,-1.64,25.83,17.56
