,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,466,580,"1,643","1,657","1,797","2,063","2,395","2,374","2,859","3,088"
Expenses +,387,499,"1,452","1,444","1,526","1,713","2,023","1,965","2,457","2,707"
Operating Profit,79,81,191,214,270,351,372,409,402,381
OPM %,17%,14%,12%,13%,15%,17%,16%,17%,14%,12%
Other Income +,8,30,41,18,27,13,-15,14,7,9
Interest,24,39,85,81,69,36,32,22,13,12
Depreciation,11,16,43,42,41,42,53,54,65,67
Profit before tax,52,57,103,109,188,286,273,347,332,311
Tax %,14%,20%,24%,26%,34%,34%,17%,24%,25%,
Net Profit,45,45,78,80,124,194,229,277,263,246
EPS in Rs,0.93,0.94,5.87,6.03,9.30,14.55,17.16,20.75,19.69,18.39
