,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,754,804,"1,142","1,396","1,634","1,693","1,730","1,795","1,552",840
Expenses +,700,738,"1,045","1,265","1,481","1,536","1,571","1,679","1,449",853
Operating Profit,54,67,97,131,153,157,159,116,102,-13
OPM %,7%,8%,8%,9%,9%,9%,9%,6%,7%,-2%
Other Income +,2,2,1,2,5,6,5,11,5,-593
Interest,38,27,33,47,49,65,72,78,89,89
Depreciation,7,11,12,14,14,22,28,22,22,16
Profit before tax,12,30,53,72,96,76,64,27,-4,-711
Tax %,38%,19%,23%,26%,23%,34%,32%,35%,-3%,-1%
Net Profit,8,25,41,54,74,50,44,18,-5,-721
EPS in Rs,,,,,29.97,20.46,17.73,7.27,-1.88,-292.78
