,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,190","1,370","1,595","1,700","2,076","2,358","2,488","2,531","2,695","2,655","2,881","3,192","3,329"
Expenses +,926,"1,096","1,252","1,255","1,536","1,670","1,729","1,812","1,970","1,970","2,000","2,254","2,471"
Operating Profit,264,274,343,445,541,688,759,719,725,685,880,938,858
OPM %,22%,20%,22%,26%,26%,29%,31%,28%,27%,26%,31%,29%,26%
Other Income +,34,58,54,53,91,44,31,19,25,46,69,90,90
Interest,15,15,7,5,5,54,58,34,21,21,13,5,8
Depreciation,14,19,22,35,34,255,309,311,325,336,367,335,304
Profit before tax,269,299,369,457,592,423,424,393,403,374,569,688,637
Tax %,15%,13%,15%,12%,18%,14%,20%,22%,25%,19%,20%,-22%,
Net Profit,229,259,315,402,485,363,340,306,303,302,455,837,826
EPS in Rs,5.04,5.70,6.93,8.87,10.70,8.00,7.50,6.77,6.68,6.67,10.23,19.02,18.86
