,Sep 2006,Sep 2007,Jun 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,202,226,212,240,317,287,846,710,759,503,666,614
Expenses +,185,196,186,211,269,253,741,594,659,431,687,604
Operating Profit,16,30,26,29,48,35,106,116,100,72,-21,10
OPM %,8%,13%,12%,12%,15%,12%,12%,16%,13%,14%,-3%,2%
Other Income +,21,6,7,7,3,15,11,7,2,3,59,3
Interest,8,9,11,11,16,15,130,101,111,40,40,49
Depreciation,4,4,4,8,11,6,50,41,63,43,8,12
Profit before tax,26,23,18,17,24,28,-63,-19,-73,-8,-9,-48
Tax %,7%,41%,34%,33%,36%,24%,18%,41%,36%,-27%,-429%,-75%
Net Profit,24,14,12,11,15,21,-52,-11,-46,-11,-48,-85
EPS in Rs,,,6.22,5.64,8.49,11.15,-27.00,-6.04,-24.13,-5.63,-23.86,-41.89
