,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,094","1,309","1,100","1,163","1,113",962,550,432,223,185,114,127,187
Expenses +,"1,068","1,237","1,129","1,162","1,197",946,585,575,314,339,151,131,136
Operating Profit,26,72,-29,0,-84,16,-35,-143,-91,-154,-37,-4,50
OPM %,2%,5%,-3%,0%,-8%,2%,-6%,-33%,-41%,-83%,-33%,-3%,27%
Other Income +,14,7,8,44,101,12,43,45,120,10,-15,14,64
Interest,24,40,55,59,58,57,48,49,61,37,38,31,28
Depreciation,8,11,12,12,14,10,6,5,3,3,3,2,2
Profit before tax,7,27,-88,-27,-54,-39,-45,-152,-35,-185,-93,-23,84
Tax %,73%,51%,-4%,-6%,-16%,-5%,47%,12%,-0%,-0%,-0%,0%,
Net Profit,2,13,-91,-28,-63,-41,-24,-134,-35,-185,-93,-23,84
EPS in Rs,0.25,11.99,-83.32,-26.23,-59.05,-37.15,-21.90,-121.87,-31.41,-168.14,-84.61,-20.94,76.44
