,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,233,359,451,385,426,402,442,351,359,393,329,319,335
Expenses +,214,320,380,335,447,383,383,392,313,387,328,305,320
Operating Profit,19,40,71,50,-20,19,59,-41,47,5,0,14,15
OPM %,8%,11%,16%,13%,-5%,5%,13%,-12%,13%,1%,0%,4%,4%
Other Income +,12,14,6,8,11,13,36,62,16,14,48,16,27
Interest,6,7,6,5,4,7,12,15,20,22,24,20,16
Depreciation,11,13,11,12,11,11,10,9,9,8,6,5,6
Profit before tax,15,35,59,41,-25,14,74,-3,34,-11,17,5,20
Tax %,12%,18%,31%,20%,43%,13%,22%,483%,52%,42%,-36%,31%,
Net Profit,13,28,41,33,-14,12,57,12,16,-6,23,4,14
EPS in Rs,1.13,2.51,3.61,2.92,-1.23,1.05,5.04,1.01,1.44,-0.55,2.05,0.32,1.22
