,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,92,145,294,425,360,123,61,33,29
Expenses +,59,94,193,269,348,227,55,75,53
Operating Profit,33,51,101,155,11,-104,6,-43,-24
OPM %,36%,35%,34%,37%,3%,-84%,10%,-132%,-84%
Other Income +,3,6,0,3,9,-231,-64,-6,-460
Interest,4,7,10,21,73,100,66,54,61
Depreciation,10,16,25,42,68,79,69,68,16
Profit before tax,22,34,66,95,-122,-514,-193,-171,-561
Tax %,37%,35%,31%,29%,26%,36%,23%,0%,-47%
Net Profit,14,22,45,68,-90,-328,-148,-171,-826
EPS in Rs,9.96,14.61,30.06,35.54,-41.38,-150.02,-64.45,-71.06,-343.34
