,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,297,178,117,105,242,432,579,792,"1,004","1,943","2,341","3,206","3,374"
Expenses +,250,200,106,69,166,362,523,726,907,"1,758","1,907","2,504","2,768"
Operating Profit,47,-22,11,36,77,70,56,66,97,184,435,702,606
OPM %,16%,-12%,10%,34%,32%,16%,10%,8%,10%,9%,19%,22%,18%
Other Income +,-2,1,11,22,5,-2,2,5,11,-36,22,16,26
Interest,0,1,1,0,0,1,0,0,0,7,2,3,1
Depreciation,166,139,169,84,76,53,20,57,73,378,40,41,42
Profit before tax,-122,-161,-148,-26,5,14,39,13,33,-237,415,674,589
Tax %,6%,2%,0%,25%,53%,47%,-5%,-51%,11%,11%,14%,20%,
Net Profit,-114,-157,-147,-20,3,7,41,19,30,-211,356,539,468
EPS in Rs,-11.28,-15.51,-14.53,-1.95,0.26,0.71,3.81,1.70,2.58,-14.47,26.18,39.73,34.48
