,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,192,188,186,407,346,293,419,413,428,574,294,337,478
Expenses +,199,188,178,429,340,288,438,465,533,563,398,459,566
Operating Profit,-7,-0,8,-22,6,5,-20,-52,-105,11,-104,-122,-88
OPM %,-3%,-0%,4%,-5%,2%,2%,-5%,-13%,-25%,2%,-35%,-36%,-18%
Other Income +,16,27,18,18,11,13,20,10,32,9,24,7,7
Interest,0,0,0,1,0,0,1,0,0,3,2,2,4
Depreciation,11,7,8,6,8,9,13,18,18,39,29,15,14
Profit before tax,-1,20,18,-11,8,9,-13,-60,-91,-22,-110,-131,-99
Tax %,27%,-5%,20%,-53%,34%,140%,-131%,22%,-7%,-166%,-8%,-2%,
Net Profit,-1,20,15,-17,6,-4,-30,-46,-98,-59,-119,-133,-103
EPS in Rs,-0.17,3.13,2.24,-2.64,0.86,-0.47,-3.71,-4.46,-9.63,-5.81,-11.75,-13.09,-10.10
