,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,575","2,420","2,786","2,605","2,124","1,711","1,993","1,338","1,903","2,446","3,343","2,620","2,267"
Expenses +,"1,327","2,190","2,541","2,408","1,948","1,886","1,941","1,203","1,712","2,294","3,179","2,764","2,519"
Operating Profit,248,230,245,198,177,-176,53,135,191,152,164,-144,-252
OPM %,16%,10%,9%,8%,8%,-10%,3%,10%,10%,6%,5%,-5%,-11%
Other Income +,48,72,95,207,173,184,92,-9,40,157,66,-5,-7
Interest,1,1,2,24,10,31,60,32,54,69,81,97,74
Depreciation,41,51,55,61,73,72,60,51,31,66,50,44,32
Profit before tax,254,250,282,320,266,-94,26,42,146,173,99,-291,-365
Tax %,34%,33%,35%,28%,34%,39%,110%,37%,48%,51%,29%,1%,
Net Profit,169,168,184,231,177,-58,-2,27,75,85,70,-289,-385
EPS in Rs,25.25,25.06,27.31,34.31,26.31,-8.63,-0.37,3.96,11.22,12.58,10.48,-42.96,-57.24
