,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,864,"1,032",587,480,597,507,380,435,459,515,594,797,824
Expenses +,770,936,534,458,581,498,369,424,429,477,523,701,718
Operating Profit,94,95,53,23,16,9,11,10,30,38,71,97,106
OPM %,11%,9%,9%,5%,3%,2%,3%,2%,7%,7%,12%,12%,13%
Other Income +,11,24,31,34,24,20,20,16,9,27,16,24,30
Interest,11,10,7,6,6,7,6,9,6,10,9,7,2
Depreciation,8,9,12,15,29,29,28,27,26,22,22,22,22
Profit before tax,86,100,64,35,6,-7,-4,-10,7,33,56,92,112
Tax %,34%,33%,35%,36%,114%,-33%,-24%,-51%,57%,9%,20%,23%,
Net Profit,57,67,42,23,-1,-9,-4,-14,3,30,45,71,86
EPS in Rs,,4.04,2.51,1.37,-0.05,-0.55,-0.27,-0.87,0.20,1.94,2.92,4.54,5.51
