,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,168,168,133,258,258,237,237
Reserves,"3,212","3,284","2,672","2,537","2,825","2,526","2,468"
Borrowings +,0,0,0,0,0,0,0
Other Liabilities +,273,281,285,442,522,534,560
Total Liabilities,"3,653","3,733","3,090","3,236","3,605","3,298","3,266"
Fixed Assets +,299,316,326,348,430,587,585
CWIP,54,82,116,238,297,242,257
Investments,0,0,0,23,115,7,194
Other Assets +,"3,300","3,335","2,648","2,627","2,763","2,461","2,230"
Total Assets,"3,653","3,733","3,090","3,236","3,605","3,298","3,266"
