,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,261,260,299,480,570,489,502,880,798
Expenses +,300,525,306,487,569,545,486,763,731
Operating Profit,-39,-265,-7,-7,1,-56,16,117,67
OPM %,-15%,-102%,-2%,-1%,0%,-11%,3%,13%,8%
Other Income +,-36,496,82,142,7,93,41,6,7
Interest,70,23,14,0,0,0,2,2,2
Depreciation,39,18,14,14,13,13,13,11,10
Profit before tax,-184,189,47,121,-6,24,42,109,62
Tax %,27%,34%,22%,70%,232%,120%,231%,25%,
Net Profit,-140,121,36,36,8,-5,-56,82,48
EPS in Rs,-70.95,61.09,18.43,17.99,3.80,-2.35,-28.19,41.47,24.11
