,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,533","8,848","10,123","10,927","11,913","11,276","13,261","16,120","19,779","21,052","21,644","28,799","36,439"
Expenses +,"5,915","8,011","9,109","9,880","10,761","10,337","12,097","14,476","17,785","18,589","19,919","25,455","31,760"
Operating Profit,618,838,"1,014","1,047","1,153",939,"1,164","1,644","1,994","2,463","1,725","3,344","4,679"
OPM %,9%,9%,10%,10%,10%,8%,9%,10%,10%,12%,8%,12%,13%
Other Income +,55,92,99,117,67,69,-42,70,178,153,180,177,184
Interest,35,44,51,87,81,42,38,53,53,166,203,218,243
Depreciation,35,46,56,68,90,98,111,131,163,348,375,399,409
Profit before tax,603,840,"1,006","1,010","1,049",868,973,"1,530","1,957","2,102","1,327","2,904","4,211"
Tax %,28%,28%,28%,27%,22%,22%,28%,28%,29%,29%,27%,24%,
Net Profit,433,601,725,735,816,675,697,"1,102","1,389","1,493",974,"2,198","3,164"
EPS in Rs,4.88,6.77,8.17,8.28,9.19,7.60,8.01,12.73,15.82,16.91,10.96,24.48,35.25
