,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,42,48,65,69,90,101,123,136,178,183,214,235,236
Expenses +,24,30,43,44,64,67,82,89,110,128,146,175,190
Operating Profit,18,19,22,24,25,34,41,47,68,55,69,60,46
OPM %,43%,39%,34%,36%,28%,34%,33%,35%,38%,30%,32%,26%,19%
Other Income +,0,0,0,1,3,1,0,3,7,6,1,14,20
Interest,3,3,3,6,5,4,4,4,7,7,7,4,7
Depreciation,4,4,4,5,6,6,7,10,12,13,13,17,20
Profit before tax,11,12,14,13,18,25,31,36,57,41,50,54,39
Tax %,32%,37%,37%,31%,26%,23%,26%,36%,28%,25%,31%,26%,
Net Profit,8,7,9,9,13,19,23,23,41,31,35,39,27
EPS in Rs,,8.95,10.89,11.11,15.99,22.57,27.68,30.12,48.87,34.29,40.47,46.22,31.87
