,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,711,"1,010","1,159",743,703,818,808,929,"1,033",968,"1,045"
Expenses +,572,789,850,556,564,597,596,676,735,765,794
Operating Profit,139,221,310,188,140,222,212,253,298,203,252
OPM %,20%,22%,27%,25%,20%,27%,26%,27%,29%,21%,24%
Other Income +,6,10,15,13,-25,24,43,46,46,41,26
Interest,2,0,0,0,0,1,1,0,1,0,0
Depreciation,12,16,15,27,30,25,23,26,22,21,21
Profit before tax,132,214,310,173,84,220,231,273,321,223,257
Tax %,3%,2%,3%,3%,8%,4%,6%,5%,3%,4%,
Net Profit,128,209,301,167,77,211,217,260,311,213,246
EPS in Rs,18.70,30.42,43.68,24.31,11.27,31.96,34.45,42.94,51.47,36.43,42.01
