,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,290,318,371,571,614,719,779,789,733,908,899,"1,141","1,137"
Expenses +,216,258,301,455,485,566,614,634,585,688,718,940,990
Operating Profit,74,61,70,116,129,153,165,155,148,219,181,202,147
OPM %,26%,19%,19%,20%,21%,21%,21%,20%,20%,24%,20%,18%,13%
Other Income +,5,10,5,6,5,5,15,22,33,17,90,21,23
Interest,3,2,2,4,4,7,3,3,4,5,22,41,42
Depreciation,13,14,15,23,21,29,31,37,42,44,54,80,89
Profit before tax,64,53,57,95,108,122,146,137,136,188,195,102,39
Tax %,23%,23%,17%,21%,33%,19%,29%,25%,19%,18%,25%,41%,
Net Profit,49,41,47,75,73,99,104,103,110,155,146,61,23
EPS in Rs,6.84,5.61,6.44,10.28,9.56,13.46,13.43,12.91,13.77,19.15,18.13,6.99,2.45
