,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,891,"1,108","1,405","1,591","1,760","1,480","1,434","2,174","2,324","2,000","2,199","3,914","4,284"
Expenses +,754,940,"1,115","1,263","1,383","1,295","1,217","1,772","1,842","1,644","1,679","2,559","2,961"
Operating Profit,138,168,290,329,377,185,217,402,482,356,520,"1,355","1,323"
OPM %,15%,15%,21%,21%,21%,12%,15%,18%,21%,18%,24%,35%,31%
Other Income +,51,47,49,44,-77,41,96,63,17,-17,130,43,-3
Interest,36,72,69,123,120,112,94,97,99,82,79,147,153
Depreciation,60,65,69,96,93,75,69,73,76,78,75,143,173
Profit before tax,93,79,201,154,87,39,150,294,324,179,495,"1,108",993
Tax %,23%,-12%,19%,40%,35%,68%,15%,30%,36%,24%,23%,27%,
Net Profit,72,88,162,92,56,13,127,205,207,128,376,807,734
EPS in Rs,19.95,24.31,45.05,25.39,15.27,3.50,36.60,56.17,56.36,35.05,103.99,223.07,203.92
