,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,44,43,27,28,18,12,12,13,8,15,18,7,3
Expenses +,35,34,22,27,25,20,33,25,21,22,14,16,15
Operating Profit,9,9,5,2,-7,-9,-21,-12,-13,-7,4,-9,-11
OPM %,21%,22%,19%,6%,-37%,-76%,-171%,-87%,-158%,-49%,21%,-142%,-344%
Other Income +,2,2,3,3,2,2,25,1,-4,18,1,-3,-3
Interest,3,4,4,3,3,6,4,2,2,6,1,3,3
Depreciation,1,1,3,4,4,3,3,2,2,2,2,1,1
Profit before tax,7,7,1,-2,-13,-16,-2,-15,-22,3,2,-17,-18
Tax %,36%,37%,76%,16%,2%,2%,-115%,4%,1%,-1%,2%,-2%,
Net Profit,4,4,0,-2,-13,-16,-4,-15,-21,3,2,-17,-19
EPS in Rs,3.49,3.30,0.29,-1.69,-10.11,-12.74,-3.24,-11.78,-17.06,2.74,1.62,-13.76,-14.47
