,Sep 2010,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,259","1,705","1,859","3,153","2,061","1,915","2,824","3,370","3,152","4,437","4,674","4,291","4,757"
Expenses +,"2,069","1,543","1,680","3,083","2,079","1,789","2,302","3,094","2,842","3,893","4,112","3,655","4,220"
Operating Profit,190,162,179,70,-18,126,522,276,309,543,562,636,537
OPM %,8%,9%,10%,2%,-1%,7%,18%,8%,10%,12%,12%,15%,11%
Other Income +,75,33,-47,45,30,41,-36,33,83,56,28,73,"1,457"
Interest,85,96,124,187,122,115,127,85,68,79,52,55,66
Depreciation,84,81,82,119,59,59,57,55,57,75,79,81,86
Profit before tax,96,17,-73,-191,-169,-7,302,169,268,446,460,574,"1,843"
Tax %,27%,-28%,29%,8%,10%,1%,16%,29%,19%,25%,36%,26%,
Net Profit,70,22,-52,-176,-152,-7,253,119,216,335,295,424,"1,694"
EPS in Rs,2.70,0.86,-2.03,-6.84,-5.90,-0.28,9.81,4.62,8.38,13.52,12.19,17.54,70.05
