,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,312,382,479,501,"1,097","1,140","1,195","1,244","1,561","1,806","2,155","2,489","2,639"
Expenses +,267,316,396,432,925,960,"1,005","1,042","1,350","1,541","1,714","2,156","2,321"
Operating Profit,46,66,83,69,172,180,190,202,211,266,440,333,317
OPM %,15%,17%,17%,14%,16%,16%,16%,16%,14%,15%,20%,13%,12%
Other Income +,2,0,0,0,1,0,4,1,6,6,5,11,10
Interest,14,26,19,17,42,48,40,38,44,37,26,24,27
Depreciation,13,14,17,19,31,37,38,40,43,49,50,50,50
Profit before tax,20,26,47,33,100,95,116,125,131,185,369,270,250
Tax %,26%,33%,40%,29%,23%,28%,29%,34%,32%,24%,24%,24%,
Net Profit,15,17,29,24,77,69,82,82,90,141,280,205,187
EPS in Rs,,,2.92,2.46,7.97,7.09,8.57,8.73,9.52,15.17,30.09,22.14,20.21
