,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,895,"1,143","1,232","1,099","1,107","1,258","1,279","1,308","1,376","1,477","1,509","1,962","2,347"
Expenses +,757,930,"1,013",946,"1,042","1,100","1,060","1,096","1,073","1,199","1,293","1,700","2,020"
Operating Profit,138,214,220,153,65,159,218,212,303,279,216,262,327
OPM %,15%,19%,18%,14%,6%,13%,17%,16%,22%,19%,14%,13%,14%
Other Income +,9,24,-3,6,13,20,26,44,62,44,43,116,72
Interest,21,24,24,22,24,29,27,33,31,29,27,13,8
Depreciation,45,48,51,54,42,56,51,55,55,62,61,64,66
Profit before tax,80,165,142,83,12,93,167,168,278,231,170,300,325
Tax %,30%,31%,36%,32%,92%,39%,25%,29%,31%,9%,17%,18%,
Net Profit,67,115,90,57,1,56,125,119,192,211,141,246,252
EPS in Rs,4.27,8.06,6.17,3.81,-0.36,3.55,8.96,8.60,14.06,14.99,9.96,17.87,18.38
