,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,707,944,"1,068","1,135","1,421","1,583","1,400",960,"1,031",814,262,373,549
Expenses +,550,730,839,835,"1,073","1,261","1,059",632,735,913,423,405,582
Operating Profit,157,214,228,300,349,321,341,328,296,-99,-161,-32,-33
OPM %,22%,23%,21%,26%,25%,20%,24%,34%,29%,-12%,-61%,-8%,-6%
Other Income +,12,26,4,10,21,44,45,50,108,"-1,433",104,93,90
Interest,13,22,9,38,40,35,55,81,77,71,106,55,55
Depreciation,4,6,6,5,7,9,10,10,9,12,10,7,7
Profit before tax,152,212,217,267,323,321,322,287,318,"-1,615",-173,-1,-5
Tax %,22%,30%,28%,28%,24%,25%,24%,20%,16%,13%,-5%,-697%,
Net Profit,118,149,156,193,247,242,243,231,266,"-1,401",-181,-9,-15
EPS in Rs,12.83,16.12,16.81,21.71,26.71,25.50,27.43,24.15,28.17,-146.94,-18.80,-0.79,-1.49
