,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,161,219,238,279,278,263,253,291,265,296,381,440,471
Expenses +,121,172,187,221,223,216,210,245,222,254,325,393,418
Operating Profit,41,47,51,58,55,46,42,46,44,42,57,47,53
OPM %,25%,21%,21%,21%,20%,18%,17%,16%,16%,14%,15%,11%,11%
Other Income +,3,4,2,1,1,1,-0,2,3,5,0,4,0
Interest,12,23,24,25,24,25,23,29,29,26,26,24,24
Depreciation,3,8,8,9,10,11,7,2,2,5,6,6,7
Profit before tax,28,21,20,25,22,12,12,17,16,16,25,20,22
Tax %,28%,24%,21%,26%,13%,33%,54%,46%,50%,46%,30%,36%,
Net Profit,20,16,16,19,19,8,5,9,8,8,16,12,16
EPS in Rs,14.30,11.43,10.75,12.50,12.96,5.56,5.43,8.06,7.60,7.49,13.81,10.22,13.61
