,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,656","2,541","2,594","2,675","2,713","2,642","2,526","2,775","3,349","3,135","2,717","3,058","3,328"
Expenses +,"2,401","2,402","2,384","2,467","2,520","2,567","2,431","2,625","3,221","2,928","2,475","2,852","3,085"
Operating Profit,255,139,210,208,193,75,95,151,128,207,241,206,243
OPM %,10%,5%,8%,8%,7%,3%,4%,5%,4%,7%,9%,7%,7%
Other Income +,7,45,6,3,15,27,31,21,23,37,53,32,30
Interest,57,63,55,51,50,51,45,40,47,52,44,33,33
Depreciation,46,46,49,55,95,66,65,59,64,71,68,70,71
Profit before tax,159,75,112,105,63,-15,16,73,41,121,182,135,168
Tax %,39%,33%,41%,38%,28%,25%,111%,37%,113%,44%,15%,40%,
Net Profit,98,51,66,65,45,-23,4,50,3,72,161,94,123
EPS in Rs,12.23,6.15,8.31,8.07,5.18,-3.04,0.48,6.22,0.44,9.05,20.29,11.88,15.40
