,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,715,585,417,266,234,237,215,225,240,330,358,485,593
Expenses +,631,542,371,248,200,195,174,178,201,282,313,415,513
Operating Profit,84,43,46,17,34,42,41,47,39,48,45,70,80
OPM %,12%,7%,11%,7%,15%,18%,19%,21%,16%,14%,12%,14%,13%
Other Income +,7,16,-2,30,11,5,2,1,8,6,4,26,6
Interest,9,18,15,15,16,19,16,5,10,7,4,3,3
Depreciation,14,20,25,26,28,22,21,23,22,22,22,20,18
Profit before tax,68,21,3,6,1,6,5,19,15,24,24,74,64
Tax %,22%,52%,158%,-57%,123%,31%,106%,47%,15%,20%,18%,17%,
Net Profit,53,10,-2,9,-0,4,-0,10,12,19,19,61,49
EPS in Rs,11.46,2.03,-1.10,2.00,0.00,0.83,-0.07,1.99,2.46,3.83,3.80,11.26,8.95
