,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Dec 2013,Dec 2014,Mar 2016,Mar 2017
Sales +,"1,664","1,983","2,068","2,473","2,452","2,683","2,649","1,680","1,144","1,168",898,695
Expenses +,"1,321","1,487","1,718","2,540","2,352","2,645","2,645","1,789","1,220","1,340","1,038","1,078"
Operating Profit,343,496,351,-67,100,38,4,-109,-76,-171,-140,-382
OPM %,21%,25%,17%,-3%,4%,1%,0%,-7%,-7%,-15%,-16%,-55%
Other Income +,60,77,107,500,344,-17,46,61,90,-25,-25,-42
Interest,94,126,207,273,280,334,362,408,327,427,579,468
Depreciation,317,358,446,530,565,535,457,460,383,316,231,169
Profit before tax,-7,88,-196,-371,-401,-849,-769,-916,-696,-939,-975,"-1,061"
Tax %,10%,12%,-1%,2%,2%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit,-6,78,-204,-364,-394,-849,-769,-916,-696,-940,-975,"-1,061"
EPS in Rs,,4.71,-12.02,-21.61,-23.41,-50.43,-45.67,-54.44,-35.08,-45.10,-43.97,-47.86
