,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,131,273,257,239,356,449,489,618,530,300,272,316,306
Expenses +,142,251,219,204,307,372,439,544,447,294,247,266,256
Operating Profit,-11,22,38,35,49,77,50,74,84,7,26,51,50
OPM %,-8%,8%,15%,14%,14%,17%,10%,12%,16%,2%,9%,16%,16%
Other Income +,3,17,8,9,5,-12,4,1,6,-317,3,5,4
Interest,6,5,4,7,11,15,15,19,32,31,29,26,23
Depreciation,15,13,17,15,17,21,22,24,30,25,25,24,24
Profit before tax,-29,21,26,22,26,29,18,33,27,-366,-25,6,7
Tax %,-71%,5%,0%,0%,3%,13%,47%,36%,61%,2%,-1%,107%,
Net Profit,-49,20,26,22,25,26,10,21,11,-359,-25,-0,1
EPS in Rs,-3.43,1.37,1.74,1.46,1.67,1.57,0.59,1.28,0.66,-22.08,-1.56,-0.03,0.04
