,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,226,254,251,268,333,34,25,27,21,17,11,29,42
Expenses +,208,230,216,237,299,23,20,24,15,18,10,23,31
Operating Profit,18,25,36,31,34,11,6,4,5,-1,1,6,11
OPM %,8%,10%,14%,12%,10%,32%,22%,14%,26%,-6%,9%,20%,27%
Other Income +,5,6,6,8,10,4,3,3,3,14,7,8,9
Interest,5,6,9,11,12,2,0,0,0,0,0,0,0
Depreciation,9,8,9,8,5,2,2,2,2,2,2,2,2
Profit before tax,9,16,24,21,26,11,7,5,7,11,6,12,18
Tax %,22%,31%,31%,32%,23%,36%,-5%,28%,35%,11%,32%,25%,
Net Profit,7,11,17,14,21,7,7,3,4,10,4,9,14
EPS in Rs,1.80,2.71,4.03,3.46,5.06,1.76,1.67,0.81,1.07,2.39,1.08,2.16,3.30
