,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,208","1,219","1,115","1,125","1,313","1,356","1,541","1,768","2,133","2,107","1,525","2,266","2,760"
Expenses +,"1,051","1,074","1,002","1,035","1,195","1,208","1,387","1,562","1,959","1,937","1,432","2,094","2,575"
Operating Profit,157,145,113,90,118,148,154,206,175,169,93,171,185
OPM %,13%,12%,10%,8%,9%,11%,10%,12%,8%,8%,6%,8%,7%
Other Income +,2,4,5,4,3,3,8,29,25,20,39,17,38
Interest,24,31,31,26,36,38,62,67,75,83,80,78,87
Depreciation,13,17,18,19,18,19,25,29,28,43,48,54,60
Profit before tax,122,101,69,48,67,94,75,138,97,63,4,56,76
Tax %,38%,36%,34%,36%,35%,38%,33%,34%,31%,15%,22%,25%,
Net Profit,76,65,46,31,43,58,50,90,67,53,3,42,58
EPS in Rs,6.06,5.08,3.43,2.15,2.98,3.64,2.87,7.43,5.52,3.65,0.18,2.94,4.15
