,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,323,995,"1,050",775,891,881,780,733,"1,853","4,994","4,674","5,370","5,764"
Expenses +,303,894,"1,051",966,867,876,747,700,"1,806","4,666","4,310","5,112","5,517"
Operating Profit,20,100,-1,-191,24,6,32,33,47,328,364,258,246
OPM %,6%,10%,-0%,-25%,3%,1%,4%,5%,3%,7%,8%,5%,4%
Other Income +,3,11,43,-18,38,7,13,19,-67,-178,-75,0,-11
Interest,1,8,36,35,26,27,26,25,45,132,98,74,92
Depreciation,4,16,16,40,18,8,7,8,15,92,96,99,107
Profit before tax,19,86,-10,-285,18,-22,13,19,-79,-73,96,86,37
Tax %,31%,26%,-121%,1%,16%,-55%,18%,22%,1%,-10%,19%,15%,
Net Profit,13,64,-22,-282,15,-35,10,15,-79,-80,78,73,24
EPS in Rs,,,-1.54,-19.83,1.04,-2.43,0.73,1.05,-5.30,-5.38,4.80,4.43,1.47
