,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,"4,560","3,743","3,512","2,636","2,467","1,989"
Expenses +,"4,289","3,923","3,663","2,799","2,484","2,231"
Operating Profit,271,-180,-152,-163,-16,-242
OPM %,6%,-5%,-4%,-6%,-1%,-12%
Other Income +,51,35,46,74,-431,-4
Interest,248,257,259,239,66,4
Depreciation,108,117,145,138,115,114
Profit before tax,-34,-520,-510,-466,-628,-364
Tax %,0%,0%,0%,0%,0%,0%
Net Profit,-34,-522,-511,-467,-630,-369
EPS in Rs,-0.26,-0.79,-0.77,-0.71,-0.95,-0.56
