,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,287,331,347,307,332,369,432,387,384,444,530
Expenses +,231,261,277,228,245,266,304,282,257,357,435
Operating Profit,57,70,69,79,86,103,128,105,126,87,95
OPM %,20%,21%,20%,26%,26%,28%,30%,27%,33%,20%,18%
Other Income +,9,7,12,4,6,4,6,9,3,6,4
Interest,15,14,10,8,7,9,9,10,7,6,8
Depreciation,12,13,16,17,17,18,20,21,22,24,27
Profit before tax,38,50,55,59,69,80,106,83,100,63,63
Tax %,26%,19%,18%,22%,30%,29%,28%,9%,17%,27%,
Net Profit,28,41,45,46,48,57,77,75,83,46,46
EPS in Rs,26.84,39.33,46.90,48.10,49.76,55.19,75.20,73.21,79.08,43.11,41.36
