,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,43,57,46,47,64,70,78,69,85,100,113
Expenses +,41,54,42,42,57,61,68,64,82,96,108
Operating Profit,2,3,3,5,6,9,10,5,3,4,5
OPM %,5%,5%,7%,10%,10%,12%,12%,7%,3%,4%,5%
Other Income +,0,0,0,1,0,0,1,2,1,1,1
Interest,1,1,1,1,2,2,2,1,1,1,1
Depreciation,0,1,1,1,1,2,2,2,2,2,1
Profit before tax,1,2,2,3,4,6,7,4,0,2,4
Tax %,51%,27%,28%,36%,33%,28%,35%,-1%,860%,104%,
Net Profit,1,1,1,2,3,4,4,4,-0,-0,3
EPS in Rs,2.90,5.50,6.35,10.30,1.85,1.74,1.99,1.68,-0.15,0.06,1.25
