,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,843","1,619","1,428","1,953","2,122","3,016","3,092","2,531","2,736","3,817","4,705","4,670","4,844"
Expenses +,"1,694","1,532","1,320","1,814","2,016","2,821","2,897","2,367","2,549","3,527","4,171","3,983","4,210"
Operating Profit,149,87,107,140,106,194,195,165,188,289,535,687,634
OPM %,8%,5%,8%,7%,5%,6%,6%,6%,7%,8%,11%,15%,13%
Other Income +,18,12,13,16,5,9,10,9,10,2,27,54,62
Interest,26,17,11,13,21,22,21,15,10,9,6,6,10
Depreciation,31,36,19,25,30,37,47,61,65,101,103,97,96
Profit before tax,110,46,91,118,61,145,137,98,123,181,452,638,591
Tax %,35%,47%,33%,21%,18%,22%,19%,14%,16%,20%,25%,26%,
Net Profit,71,24,61,93,50,113,111,84,104,146,338,475,437
EPS in Rs,2.58,0.88,2.19,3.37,1.80,4.08,4.03,3.04,3.75,6.36,14.74,20.73,19.06
