,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,102,65,70,100,108,122,185,188,239,233,270,331,368
Expenses +,91,52,62,80,83,87,122,151,186,190,222,261,295
Operating Profit,10,13,8,20,25,35,63,37,53,43,48,70,73
OPM %,10%,20%,11%,20%,23%,29%,34%,20%,22%,18%,18%,21%,20%
Other Income +,3,2,1,1,2,1,2,1,4,5,2,2,2
Interest,2,5,9,14,6,4,10,15,32,30,28,21,20
Depreciation,0,0,0,1,1,1,1,1,2,2,2,2,2
Profit before tax,11,9,-1,7,19,31,53,22,23,16,20,48,53
Tax %,33%,42%,-400%,60%,40%,33%,32%,34%,19%,29%,21%,15%,
Net Profit,7,5,-3,3,11,21,36,15,18,11,16,41,44
EPS in Rs,1.76,1.30,-0.72,0.32,2.46,4.63,7.97,3.05,3.15,1.33,2.71,10.04,10.66
