,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,585","4,593","4,992","5,464","5,705","5,484","5,766","6,282","6,985","6,779","7,610","9,363","10,718"
Expenses +,"3,419","4,319","4,538","4,790","5,013","4,694","5,096","5,652","6,332","6,052","6,617","8,640","10,028"
Operating Profit,165,274,454,673,692,789,670,630,652,727,993,724,690
OPM %,5%,6%,9%,12%,12%,14%,12%,10%,9%,11%,13%,8%,6%
Other Income +,15,19,-10,3,16,7,28,9,10,8,10,17,5
Interest,102,196,196,187,142,101,90,104,93,154,179,210,221
Depreciation,36,73,81,87,93,108,143,169,193,277,340,435,445
Profit before tax,42,24,166,403,472,587,466,367,376,304,484,95,30
Tax %,34%,25%,28%,33%,33%,32%,23%,36%,33%,24%,11%,26%,
Net Profit,27,18,120,271,314,436,359,233,251,230,432,71,20
EPS in Rs,7.76,5.31,35.10,75.44,78.41,108.17,89.28,58.83,62.35,57.17,106.81,17.60,5.52
