,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,249","1,183",613,837,584,459,289,248,289,313
Expenses +,978,"1,021",427,"1,072",526,450,318,318,411,401
Operating Profit,271,162,186,-236,58,9,-29,-69,-122,-87
OPM %,22%,14%,30%,-28%,10%,2%,-10%,-28%,-42%,-28%
Other Income +,8,14,21,12,-76,25,66,33,17,20
Interest,99,162,165,81,41,29,5,2,2,1
Depreciation,28,38,36,33,24,22,21,11,1,1
Profit before tax,152,-24,6,-337,-82,-17,11,-50,-108,-69
Tax %,26%,-24%,19%,1%,29%,32%,17%,-4%,-2%,
Net Profit,112,-30,5,-333,-58,-12,9,-52,-110,-71
EPS in Rs,75.57,-19.95,3.38,-224.10,-25.69,-5.20,3.98,-22.85,-48.56,-31.36
