,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,97,116,132,96,84,60,56,86,99,169,205,244
Expenses +,82,92,115,91,86,54,59,86,88,149,186,217
Operating Profit,15,25,17,5,-2,6,-3,-0,11,20,20,27
OPM %,16%,21%,13%,5%,-2%,10%,-5%,-0%,11%,12%,10%,11%
Other Income +,10,4,3,4,6,8,8,9,4,9,14,17
Interest,6,6,5,5,6,6,7,10,10,5,4,3
Depreciation,5,7,6,5,3,3,3,2,2,2,2,2
Profit before tax,14,15,9,-1,-5,5,-4,-4,3,22,27,38
Tax %,29%,29%,48%,-269%,13%,34%,-46%,-41%,-98%,25%,40%,
Net Profit,10,10,5,-3,-4,3,-7,-6,6,17,16,25
EPS in Rs,1.51,1.55,0.70,-0.44,-0.66,0.49,-1.10,-0.85,0.94,2.46,2.40,3.69
