,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,52,17,102,37,46,79,53,62,92,149,55,70,115
Expenses +,35,25,65,33,46,58,48,50,76,87,47,65,88
Operating Profit,18,-8,37,5,1,21,4,11,17,63,7,5,26
OPM %,34%,-46%,36%,12%,1%,27%,8%,18%,18%,42%,14%,7%,23%
Other Income +,3,8,5,5,4,3,5,4,3,2,3,5,9
Interest,0,1,2,2,2,2,2,2,5,3,1,2,2
Depreciation,1,1,1,2,2,2,4,4,4,5,5,5,5
Profit before tax,20,-3,39,6,0,20,3,9,11,57,4,3,27
Tax %,15%,29%,20%,15%,25%,21%,21%,20%,-19%,-3%,36%,21%,
Net Profit,17,-2,32,5,0,16,2,7,13,59,3,3,20
EPS in Rs,1.89,-0.24,3.55,0.53,0.01,2.04,0.30,0.93,1.73,7.62,0.39,0.25,2.05
