,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,TTM
Sales +,106,27,37,61,11,1,0,43,120
Expenses +,150,35,42,66,21,5,1,43,119
Operating Profit,-44,-8,-5,-5,-10,-3,-0,0,1
OPM %,-41%,-30%,-14%,-8%,-93%,-236%,-86%,1%,1%
Other Income +,2,1,1,0,0,0,6,1,1
Interest,2,2,2,2,1,0,0,0,0
Depreciation,2,1,0,0,0,0,0,0,0
Profit before tax,-45,-11,-6,-7,-10,-3,5,1,2
Tax %,-4%,-0%,-1%,-0%,-0%,-1%,-0%,16%,
Net Profit,-47,-11,-6,-7,-10,-4,5,1,2
EPS in Rs,,,-1.29,-1.40,-2.13,-0.71,1.01,0.01,0.03
